NinjaScript File,Error,Code,Line,Column,
\NETFrameworkVersion=v4\8\AssemblyAttributes.cs,Duplicate 'global::System.Runtime.Versioning.TargetFrameworkAttribute' attribute,CS0579,4,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyCompanyAttribute' attribute,CS0579,13,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyConfigurationAttribute' attribute,CS0579,14,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,15,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,16,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyProductAttribute' attribute,CS0579,17,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,18,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,19,12,
\NETCoreAppVersion=v6\0\AssemblyAttributes.cs,Duplicate 'global::System.Runtime.Versioning.TargetFrameworkAttribute' attribute,CS0579,4,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyCompanyAttribute' attribute,CS0579,13,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyConfigurationAttribute' attribute,CS0579,14,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyFileVersionAttribute' attribute,CS0579,15,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyInformationalVersionAttribute' attribute,CS0579,16,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyProductAttribute' attribute,CS0579,17,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyTitleAttribute' attribute,CS0579,18,12,
CopyEngineTests\Runner\AssemblyInfo.cs,Duplicate 'System.Reflection.AssemblyVersionAttribute' attribute,CS0579,19,12,
AssemblyInfo.cs,Duplicate 'AssemblyTitle' attribute,CS0579,6,12,
AssemblyInfo.cs,Duplicate 'AssemblyConfiguration' attribute,CS0579,8,12,
AssemblyInfo.cs,Duplicate 'AssemblyCompany' attribute,CS0579,9,12,
AssemblyInfo.cs,Duplicate 'AssemblyProduct' attribute,CS0579,10,12,
AssemblyInfo.cs,Duplicate 'AssemblyVersion' attribute,CS0579,21,12,
